time,velocity_r3, angular_vel_r3,num_detections3,num_inliers3,average_range3,velocity_r4,angular_vel_r4,num_detections4,num_inliers4,average_range4,combined_velocity,combined_angular_vel,x,y
3362012.0,2.3254170687248568,-5.454462734056161,21.0,8.0,14.928571428571429,2.91340032135138,-10.00401090169321,20.0,4.0,9.127500000000001,2.6194086950381186,15.284364854427483,-18.004988420531934,109.17101557370832
3362062.0,2.1898833634843142,-14.906836138337265,25.0,24.0,14.977999999999998,2.9574793218203035,-11.53301027233351,17.0,3.0,8.53529411764706,2.573681342652309,15.382469284861203,-18.04829551652833,109.05231612406473
3362112.0,2.2370893669631826,-11.712961456440883,20.0,12.0,11.135,2.9960726491276914,-15.978303264166035,16.0,15.0,8.390625,2.6165810080454373,15.535699485152989,-18.089970777755816,108.933177689945
3362162.0,2.101726859490541,-17.46461703812593,19.0,18.0,11.186842105263159,2.813445051072199,-8.025501194759954,15.0,14.0,7.8,2.4575859552813704,15.750355427918791,-18.12989140909839,108.81394348480576
3362212.0,2.0713803638263553,-16.86686210170919,23.0,13.0,11.33695652173913,2.4605909796806116,0.7865323161957752,15.0,14.0,7.203333333333334,2.2659856717534836,15.86160299004099,-18.1681361959304,108.69435324419175
3362262.0,2.121317806435785,-16.035271304516044,23.0,22.0,9.995652173913044,2.9895283499438987,-13.298458341725848,15.0,14.0,9.596666666666668,2.555423078189842,15.780490843470055,-18.20466521609398,108.5744733354264
3362312.0,2.282051042428686,-11.471640498689265,24.0,13.0,11.229166666666666,2.868038985759001,-8.723883128837828,11.0,10.0,8.327272727272726,2.5750450140938437,15.848186955123907,-18.239591860889906,108.45389065890276
3362362.0,2.0604158676285422,-16.874250622571623,26.0,25.0,13.134615384615385,2.6843016131532202,-1.5479238532936501,14.0,13.0,9.521428571428572,2.3723587403908812,15.676055250684549,-18.2727431735419,108.33324430317104
3362412.0,2.1287249729416065,-14.374976435238018,24.0,4.0,12.731250000000001,2.8306382398275125,-8.914391030581523,10.0,9.0,10.560000000000002,2.4796816063845597,15.742810821542967,-18.304205263738115,108.21221851367955
3362462.0,2.0139574836117187,-18.21502859623288,23.0,21.0,12.141304347826088,2.8097582208124323,-6.448282993204705,11.0,10.0,8.363636363636363,2.4118578522120755,15.635986470045426,-18.333951566253006,108.09100702876796
3362512.0,2.1499049086538027,-14.476245319426639,20.0,15.0,9.532499999999999,2.7353732808244184,-4.007573201004434,15.0,14.0,8.916666666666664,2.4426390947391106,15.280763587116855,-18.361995293505196,107.96954816159104
3362562.0,2.0309851698462302,-16.45092317251796,19.0,18.0,10.307894736842107,2.9280364295005703,-16.0808202054103,15.0,8.0,8.606666666666666,2.4795107996734003,15.239035633996716,-18.388253053625778,107.84830026020276
3362612.0,1.9658172669640686,-19.29399373216029,22.0,21.0,10.006818181818183,2.6409869121523584,-7.0507652108999235,13.0,3.0,9.957692307692307,2.3034020895582135,14.899274634599085,-18.412803446448905,107.72714846145121
3362662.0,2.149832941593755,-14.50799330305131,24.0,22.0,12.352083333333333,2.8135482184811273,-12.220995462600415,14.0,12.0,11.439285714285713,2.481690580037441,14.86103283183294,-18.435657973058127,107.6061183095607
