%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed
1575034227679152740,22736,3359668875000,vehicle_info_speed,2.42812514305
1575034227695503213,22737,3359679471000,vehicle_info_speed,2.42812514305
1575034227713501776,22738,3359689036000,vehicle_info_speed,2.42812514305
1575034227739082115,22739,3359699187000,vehicle_info_speed,2.44431233406
1575034227752475501,22740,3359709988000,vehicle_info_speed,2.44431233406
1575034227772475449,22741,3359719392000,vehicle_info_speed,2.44431233406
1575034227793432469,22742,3359730179000,vehicle_info_speed,2.44431233406
1575034227803316236,22743,3359739607000,vehicle_info_speed,2.46050024033
1575034227825232914,22744,3359749512000,vehicle_info_speed,2.46050024033
1575034227847680744,22745,3359759885000,vehicle_info_speed,2.46050024033
1575034227861346298,22746,3359769178000,vehicle_info_speed,2.46050024033
1575034227889188221,22747,3359779854000,vehicle_info_speed,2.46050024033
1575034227889204769,22748,3359789173000,vehicle_info_speed,2.46050024033
1575034227910592569,22749,3359799375000,vehicle_info_speed,2.47668743134
1575034227931910921,22750,3359810019000,vehicle_info_speed,2.47668743134
1575034227951928395,22751,3359820559000,vehicle_info_speed,2.47668743134
1575034227962629454,22752,3359830228000,vehicle_info_speed,2.47668743134
1575034227990264384,22753,3359841072000,vehicle_info_speed,2.49287509918
1575034228002206300,22754,3359850321000,vehicle_info_speed,2.49287509918
1575034228015884962,22755,3359859921000,vehicle_info_speed,2.49287509918
1575034228044256070,22756,3359870520000,vehicle_info_speed,2.49287509918
1575034228044322009,22757,3359879933000,vehicle_info_speed,2.49287509918
1575034228073351263,22758,3359890388000,vehicle_info_speed,2.49287509918
1575034228093060230,22759,3359900092000,vehicle_info_speed,2.49287509918
1575034228106574049,22760,3359910018000,vehicle_info_speed,2.50906252861
1575034228130736189,22761,3359920861000,vehicle_info_speed,2.50906252861
1575034228143552210,22762,3359930018000,vehicle_info_speed,2.50906252861
1575034228163189488,22763,3359941597000,vehicle_info_speed,2.52524995804
1575034228173681074,22764,3359950365000,vehicle_info_speed,2.52524995804
1575034228200513266,22765,3359959893000,vehicle_info_speed,2.52524995804
1575034228218648486,22766,3359970345000,vehicle_info_speed,2.52524995804
1575034228218738935,22767,3359980906000,vehicle_info_speed,2.52524995804
1575034228253541902,22768,3359989633000,vehicle_info_speed,2.52524995804
1575034228267615279,22769,3360000789000,vehicle_info_speed,2.52524995804
1575034228287203776,22770,3360010267000,vehicle_info_speed,2.5414378643
1575034228303550828,22771,3360020654000,vehicle_info_speed,2.5414378643
1575034228322513238,22772,3360030112000,vehicle_info_speed,2.55762505531
1575034228352480947,22773,3360041250000,vehicle_info_speed,2.55762505531
1575034228366569872,22774,3360050331000,vehicle_info_speed,2.55762505531
1575034228394262339,22775,3360060465000,vehicle_info_speed,2.55762505531
1575034228406666445,22776,3360071132000,vehicle_info_speed,2.55762505531
1575034228421572244,22777,3360080061000,vehicle_info_speed,2.55762505531
1575034228436995214,22778,3360090534000,vehicle_info_speed,2.57381224632
1575034228460960720,22779,3360100103000,vehicle_info_speed,2.57381224632
1575034228475368479,22780,3360110052000,vehicle_info_speed,2.57381224632
1575034228487639897,22781,3360120074000,vehicle_info_speed,2.59000015259
1575034228513953162,22782,3360130284000,vehicle_info_speed,2.59000015259
1575034228524641076,22783,3360140356000,vehicle_info_speed,2.59000015259
1575034228543657101,22784,3360150202000,vehicle_info_speed,2.60618758202
1575034228565644007,22785,3360160575000,vehicle_info_speed,2.60618758202
1575034228586424397,22786,3360170690000,vehicle_info_speed,2.60618758202
1575034228598301224,22787,3360181032000,vehicle_info_speed,2.60618758202
1575034228618731115,22788,3360191664000,vehicle_info_speed,2.60618758202
1575034228628031059,22789,3360200331000,vehicle_info_speed,2.60618758202
1575034228658060418,22790,3360210077000,vehicle_info_speed,2.60618758202
1575034228665822584,22791,3360220586000,vehicle_info_speed,2.60618758202
1575034228684736275,22792,3360230184000,vehicle_info_speed,2.62237501144
1575034228710689932,22793,3360240700000,vehicle_info_speed,2.62237501144
1575034228731905593,22794,3360250442000,vehicle_info_speed,2.62237501144
1575034228732029405,22795,3360260484000,vehicle_info_speed,2.63856267929
1575034228752229096,22796,3360270582000,vehicle_info_speed,2.63856267929
1575034228771674053,22797,3360280967000,vehicle_info_speed,2.63856267929
1575034228783158025,22798,3360290363000,vehicle_info_speed,2.63856267929
1575034228799446140,22799,3360301110000,vehicle_info_speed,2.63856267929
1575034228819918836,22800,3360310422000,vehicle_info_speed,2.63856267929
1575034228834175667,22801,3360320711000,vehicle_info_speed,2.63856267929
1575034228848521620,22802,3360330810000,vehicle_info_speed,2.6547498703
1575034228875250553,22803,3360341034000,vehicle_info_speed,2.6547498703
1575034228888255361,22804,3360351095000,vehicle_info_speed,2.6547498703
1575034228906891654,22805,3360360677000,vehicle_info_speed,2.67093777657
1575034228942919059,22806,3360370617000,vehicle_info_speed,2.67093777657
1575034228943055935,22807,3360380679000,vehicle_info_speed,2.67093777657
1575034228943089224,22808,3360390556000,vehicle_info_speed,2.67093777657
1575034228978695259,22809,3360401157000,vehicle_info_speed,2.68712496758
1575034228998801462,22810,3360410989000,vehicle_info_speed,2.68712496758
1575034229019720372,22811,3360421048000,vehicle_info_speed,2.67093777657
1575034229043610428,22812,3360430946000,vehicle_info_speed,2.68712496758
1575034229055623466,22813,3360441396000,vehicle_info_speed,2.68712496758
1575034229075773403,22814,3360450682000,vehicle_info_speed,2.68712496758
